,Zipcode,FoodStamp,WithHealthCoverage,WithPrivateInsurance,Withpubliccoverage,Nohealthinsurancecoverage,BelowPovertyLevel
6554,23056,0.0,87.8,87.8,0.0,12.2,19.8
6555,23059,3.4,93.5,92.1,2.0,6.5,1.5
6556,23060,4.5,91.3,90.6,2.0,8.7,1.4
6557,23061,6.4,84.6,83.5,3.8,15.4,1.6
6558,23062,4.3,87.6,87.6,0.0,12.4,6.6
6559,23063,19.9,89.9,85.3,5.0,10.1,6.4
6560,23064,0.0,100.0,100.0,0.0,0.0,45.2
6561,23065,3.9,90.2,90.2,0.0,9.8,5.2
6562,23066,0.0,100.0,100.0,0.0,0.0,18.3
6563,23068,11.9,75.5,75.5,0.0,24.5,25.9
6564,23069,10.3,92.3,91.9,0.5,7.7,1.9
6565,23070,0.0,100.0,100.0,0.0,0.0,10.9
6566,23071,7.8,91.6,91.6,10.4,8.4,8.4
6567,23072,14.1,84.4,81.6,7.1,15.6,4.2
6568,23075,18.0,78.4,73.8,6.1,21.6,5.2
6569,23076,6.3,59.1,59.1,0.0,40.9,11.9
6570,23079,8.3,89.0,84.5,6.9,11.0,14.2
6571,23083,23.8,80.5,76.5,13.0,19.5,15.7
6572,23084,6.0,79.4,74.2,5.2,20.6,9.5
6573,23085,9.4,92.3,92.3,0.0,7.7,20.5
6574,23086,4.7,88.3,87.8,0.7,11.7,6.8
6575,23089,7.8,89.8,88.8,3.2,10.2,7.2
6576,23091,7.1,54.3,47.3,7.0,45.7,18.2
6577,23092,0.0,100.0,100.0,0.3,0.0,20.4
6578,23093,9.6,81.9,80.2,4.2,18.1,1.9
6579,23102,0.7,93.8,92.9,3.2,6.2,3.5
6580,23103,3.4,92.8,92.3,0.4,7.2,2.5
6581,23106,24.5,95.3,95.3,0.0,4.7,22.2
6582,23108,16.9,87.6,76.8,10.8,12.4,38.6
6583,23109,18.0,81.6,77.7,3.8,18.4,12.1
6584,23110,3.1,74.6,74.6,2.7,25.4,16.4
6585,23111,3.9,93.3,92.2,2.5,6.7,1.2
6586,23112,5.3,93.1,92.4,2.2,6.9,1.0
6587,23113,1.3,96.6,95.6,1.4,3.4,0.9
6588,23114,2.7,94.9,93.6,2.5,5.1,2.4
6589,23115,0.0,100.0,100.0,0.0,0.0,34.1
